,Year,Algeria,Argentina,Australia,Bangladesh,Brazil,BRICS,Canada,Chile,China (People's Republic of),Colombia,Egypt,Ethiopia,European Union (28 countries),Ghana,Haiti,India,Indonesia,Iran,Israel,Japan,Kazakhstan,Korea,Malaysia,Mexico,Mozambique,New Zealand,Nigeria,OECD - Total,Pakistan,Paraguay,Peru,Philippines,Russia,Saudi Arabia,South Africa,Sub-Saharan Africa,Sudan,Tanzania,Thailand,Turkey,Ukraine,United States,Uruguay,Viet Nam,World,Zambia
38,2008,4.867,1.1578,10.8331,1.0675,0.3932,1.5371,1.0245,0.6457,2.4853,0.364,1.7593,1.4719,2.2634,1.3572,0.7467,0.604,0.4273,3.6661,1.4584,0.2699,7.4203,0.1053,0.6427,0.6562,0.9624,17.6946,2.4607,1.6356,2.1623,0.4516,1.2242,0.5232,1.1623,4.6213,3.4475,2.2344,9.7678,0.9174,0.0316,4.004,0.3242,0.4387,2.9469,0.1115,1.7,0.5958
39,2009,5.1332,1.1086,10.1993,1.1031,0.4185,1.5490000000000002,1.0132,0.5535,2.5389,0.268,1.672,1.4965,2.2218,1.5012,0.6609,0.5817,0.4777,3.0059,1.5244,0.2725,7.5484,0.0973,0.6428,0.584,0.7588,8.9989,2.4531,1.5498,2.1546,0.4763,1.2052,0.5271,1.1312,4.3699,3.365,2.2103,9.171,0.8927,0.0296,3.7008,0.3386,0.4282,2.0329,0.1383,1.6936,0.6061
40,2010,5.2735,1.1037,8.8731,1.1372,0.4082,1.5972,0.9544,0.4848,2.6114,0.3811,1.4727,1.4409999999999998,2.0475,1.5126,0.5682,0.6288,0.4186,2.7997,1.6181,0.2185,7.8864,0.1029,0.7474,0.5439,0.7437,2.6641,2.5249,1.4004,2.1436,0.489,1.197,0.5282,1.1818,5.0252,3.153,2.1899,9.1171,0.8758,0.0304,3.3498,0.4033,0.4014,4.2622,0.1699,1.6766,0.6187
41,2011,6.2966,1.1394,7.9744,1.1707,0.4021,1.5796,0.9255,0.5321,2.5814,0.48100000000000004,1.4179,1.3614,2.0186,1.568,0.5644,0.6337,0.4119,3.0034,1.8355,0.2202,8.155,0.1172,0.6145,0.5194,0.7415,7.7565,2.4854,1.3946,2.1349,0.4913,1.2306,0.5125,1.2001,5.4746,2.9353,2.1749,8.9355,1.0496,0.0356,3.5581,0.3766,0.3701,4.998,0.1313,1.6831,0.6162
42,2012,6.4431,1.2209999999999999,8.6675,1.1629,0.4081,1.6066,0.8563,0.6226,2.6385,0.4034,1.4595,1.3464,1.879,1.5509,0.562,0.6296,0.4145,3.2193,1.7928,0.1899,8.0729,0.1203,0.6759999999999999,0.4799,0.7904,7.5193,2.4451,1.3613,2.1257,0.4942,1.2495,0.4887,1.2458,5.4892,3.0739,2.1039,8.7324,1.0458,0.0353,3.8302,0.3811,0.3762,4.7761,0.1152,1.686,0.6015
43,2013,6.4778,1.2125,8.69,1.1537,0.4155,1.6522,0.8654,0.5720000000000001,2.7542,0.3924,1.442,1.3326,1.8549,1.4927,0.562,0.6221,0.4133,3.3441,1.7695,0.1257,7.9081,0.1181,0.812,0.4872,0.82,6.7138,2.4078,1.3449,2.1469,0.4916,1.2603,0.509,1.2332,5.4867,2.9893,2.0686,8.5433,1.02,0.0374,3.8259,0.3855,0.3801,3.6883,0.1375,1.7003,0.5932
44,2014,6.6828,1.2234,8.9694,1.1459,0.415,1.6764,0.8668,0.5726,2.8095,0.3877,1.4537,1.3565,1.8616,1.6269999999999998,0.5687,0.6238,0.4132,3.3947,1.8816,0.1419,7.7617,0.1432,1.0047,0.5002,0.8140000000000001,5.5365,2.3703,1.3541,2.1057,0.4961,1.2779,0.5197,1.2141,5.7419,3.0942,2.0473,8.3597,1.0222,0.0401,3.8447,0.3919,0.3796,3.1196,0.1367,1.7174,0.581
45,2015,6.7996,1.2118,9.4679,1.1473,0.4053,1.6980000000000002,0.8552,0.5720000000000001,2.8594,0.3887,1.4664,1.3697,1.8467,1.6689,0.5767,0.6291,0.4191,3.4769,1.8916,0.1527,7.7826,0.1426,1.0246,0.4969,0.8190000000000001,5.3683,2.3397,1.3525,2.1207,0.4988,1.2995,0.5271,1.225,5.7992,3.0716,2.0489,8.4545,1.0516,0.0402,3.8767,0.3969,0.3498,3.1259,0.1393,1.7321,0.5859
46,2016,6.8094,1.2163,9.4086,1.1538,0.3968,1.7288,0.845,0.5801,2.9284,0.3888,1.4742,1.3827,1.8279,1.7375,0.5793,0.6334,0.4214,3.5012,1.9052,0.1586,7.7909,0.1419,1.0454,0.4895,0.8209,5.308,2.313,1.341,2.1079,0.4927,1.3013,0.524,1.239,5.8587,3.0925,2.0467,8.6127,1.0787,0.040999999999999995,3.8528,0.3987,0.3412,3.1684,0.1441,1.7452,0.5876
47,2017,6.8825,1.234,9.3086,1.1786,0.3945,1.7505,0.8322,0.5876,2.9756,0.392,1.4932,1.3897,1.8057,1.7806,0.584,0.6391,0.4245,3.5434,1.9239,0.1645,7.8789,0.1413,1.0668,0.4821,0.8279,5.2485,2.3029,1.3318,2.1394,0.4921,1.3074,0.5272,1.2527,5.9194,3.114,2.0431,8.6533,1.093,0.0417,3.8863,0.4061,0.3372,3.2111,0.1488,1.7595,0.5899
