Location,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1970 Flags,1971 Flags,1972 Flags,1973 Flags,1974 Flags,1975 Flags,1976 Flags,1977 Flags,1978 Flags,1979 Flags,1980 Flags,1981 Flags,1982 Flags,1983 Flags,1984 Flags,1985 Flags,1986 Flags,1987 Flags,1988 Flags,1989 Flags,1990 Flags,1991 Flags,1992 Flags,1993 Flags,1994 Flags,1995 Flags,1996 Flags,1997 Flags,1998 Flags,1999 Flags,2000 Flags,2001 Flags,2002 Flags,2003 Flags,2004 Flags,2005 Flags,2006 Flags,2007 Flags,2008 Flags,2009 Flags,2010 Flags,2011 Flags,2012 Flags,2013 Flags,2014 Flags,2015 Flags,2016 Flags,2017 Flags,2018 Flags,2019 Flags,2020 Flags,2021 Flags,2022 Flags,2023 Flags,2024 Flags
Colombia,,,,,,,,,,,,,,13.1173,13.8747,13.5579,12.9793,12.4327,13.5247,14.6307,15.4457,13.9422,11.8734,11.9357,12.6307,13.4408,13.7554,14.1267,13.8918,12.7896,13.0844,12.0512,11.4564,10.6716,11.6022,12.6895,12.8506,12.2064,11.8435,10.799,11.5482,12.1443,12.415,11.6195,11.7131,11.5544,11.6134,11.6254,11.691,11.7961,11.8787,11.9214,11.942,11.9601,11.9871,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,5.8092,7.0577,4.6804,6.563,5.1822,6.0086,4.9733,5.0004,5.6944,5.5959,6.254,6.4627,6.2317,6.4594,7.0714,7.1464,7.4207,7.8588,5.548,6.1243,6.4298,7.2147,7.9102,9.3641,10.0616,9.2204,9.392,9.6954,9.3114,10.726,10.7257,10.7781,10.8012,10.7537,10.6978,10.7137,10.7363,10.7177,10.699,10.6856,10.6618,10.617,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,3.0174,2.9165,2.8839,3.1769,3.1195,3.0755,3.1642,3.1174,3.1263,3.5276,3.2894,3.1758,3.219,3.3437,3.159,3.2199,2.927,3.3685,3.2088,2.5766,2.4538,2.2469,2.2492,2.2678,2.2694,2.2731,2.2723,2.2597,2.2465,2.2192,2.1906,2.164,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union (28 countries),,,,,,,,,,,,,,,,,,,,,,,,,,12.5774,11.6813,11.9472,12.216,12.421,11.7627,11.1278,11.7249,11.8458,12.1227,12.0088,12.0649,12.0936,11.613,11.4652,11.323,11.0573,10.7027,10.3494,10.4557,10.1014,10.032,9.981,9.9284,9.8776,9.8275,9.7546,9.7233,9.6703,9.6467,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,1.3017,1.1257,1.1835,1.1131,1.088,1.0333,1.0582,1.2762,2.1205,2.0689,1.7435,1.5791,1.4304,1.0422,0.9545,0.8808,1.0833,0.9918,0.9121,0.9406,0.9579,0.7751,0.8974,1.1012,1.4926,1.3601,0.9315,0.9246,0.9159,0.9125,0.9437,0.9529,0.9379,0.9432,0.9378,0.9402,0.9269,0.9242,0.9186,0.9128,0.908,0.9021,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,3.4941,3.53,3.4655,3.2699,3.0457,2.8756,2.7233,2.367,2.415,2.5559,2.6738,2.5077,2.2148,2.5337,2.4879,2.6584,2.6028,3.293,3.2566,3.3307,3.3173,3.2638,3.3675,3.3847,3.2468,3.2024,3.3367,3.3412,3.4433,3.536,3.5522,3.5666,3.5888,3.6129,3.6384,3.6651,3.6931,3.7223,3.7525,3.7842,3.8172,3.8514,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,1.7377,1.7176,1.7134,1.7017,1.7088,1.689,1.6684,1.6523,1.6263,1.6202,1.5813,1.548,1.4949,1.477,1.4447,1.4391,1.4089,1.309,1.3213,1.269,1.192,1.1687,1.1024,1.0781,1.0872,1.0991,1.1449,0.9688,0.7912,0.7249,0.6174,0.5965,0.5976,0.6004,0.5974,0.5982,0.6007,0.6005,0.5989,0.5986,0.5999,0.6011,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,1.1242,1.1746,1.1964,1.1772,1.1578,1.1422,1.1868,1.1985,1.2069,1.3115,1.4972,1.4345,1.3329,1.4813,1.5124,1.3818,1.3061,1.4592,1.3488,1.3194,1.3529,1.5957,1.3254,1.4565,1.3144,1.4655,1.5696,1.7149,1.6844,1.6603,1.66,1.6485,1.6638,1.6975,1.7248,1.7602,1.7937,1.8233,1.8582,1.8918,1.9222,1.9517,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,4.6921,4.067,3.4643,3.9275,3.1108,3.7643,3.5521,4.2918,3.5541,3.4331,3.8585,3.7117,3.5762,4.3977,4.329,4.2778,3.5336,3.1736,3.4355,3.1952,3.7122,4.1325,3.8496,4.488,4.6888,3.8232,3.5965,4.3721,4.1363,3.448,3.1951,3.4613,3.4594,3.4535,3.428,3.4242,3.4305,3.4267,3.428,3.4341,3.4409,3.4458,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,8.9895,12.4925,11.9323,10.1472,12.2176,14.0406,11.8124,9.9693,12.3233,10.0979,10.6558,13.8993,12.3474,13.6214,14.4354,13.6615,13.4695,16.5484,15.1769,17.7887,18.3437,18.3771,16.8672,21.9546,19.9172,23.4135,17.8395,18.9082,19.6379,19.4124,19.5086,19.1968,18.9985,19.0713,19.2422,19.4492,19.5858,19.7143,19.7966,19.8827,19.9653,20.0506,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
