Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,,0.144396513,0.124309638,0.139450565,0.11965812,0.13410893,0.131540005,0.112899584,0.11080157,0.124403253,0.122382169,0.105520215,0.044639536,0.044135821,0.043696745,0.043319423,0.042991029,0.042721046,0.042548363,0.042521225,0.042673646,0.043010753,0.04350979,0.044144913,0.044867864,0.060842054,0.061914712,0.063008002,0.063961112,0.064550487,0.064614092,0.064090239,0.063057666,0.061663686,0.060105184,0.058523168,0.056943555,0.055377118,0.053903997,0.052603201,0.051514527,0.050650864,0.049981257,0.049441313,0.048948824,0.048446678,0.047923131,0.04739505,0.046865847,0.046349942,0.045854207,0.045376168,0.044909003,,,
Australia,,2.879423829,2.988549618,3.016803653,3.168263634,3.246048472,3.400051498,3.498432071,3.44658173,3.384163745,3.327256736,3.177707351,3.082340442,3.00568012,3.069372586,3.039372346,2.998361006,2.895081736,2.961275944,3.026870608,2.996937109,2.881623903,3.05534326,2.916064806,3.02882141,2.992130981,2.922451681,2.886208105,2.842936814,2.836854125,2.806898289,2.644063874,2.69791369,2.62070527,2.649117894,2.218736166,1.98154115,2.153210563,2.354497354,2.405685301,2.469795854,2.565651883,2.432345787,2.364365632,2.372040105,2.422284112,2.305306335,2.119303232,2.069677917,2.17184453,1.932120689,2.134196454,2.072882501,,,
Austria,,0.238347267,0.235768873,0.230775309,0.229380627,0.228307708,0.220702736,0.216890394,0.215901954,0.21300743,0.212398786,0.211586402,0.210492801,0.199575145,0.199235745,0.199369223,0.200911371,0.202023405,0.204567258,0.201737218,0.203458988,0.20465839,0.202663273,0.190295838,0.191101318,0.191408179,0.190097643,0.18997738,0.192213457,0.191480697,0.185729078,0.186334018,0.183146703,0.179492268,0.17930681,0.177900169,0.177157556,0.176454915,0.176010673,0.175418314,0.174622539,0.172463251,0.171369385,0.170782879,0.16960423,0.168574238,0.167258441,0.166596608,0.165114542,0.164323016,0.163569762,0.162423497,0.16073564,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230899485,0.228925951,0.226879031,0.224632401,0.229911117,0.229796192,0.228699608,0.22860543,0.226822056,0.226316698,0.224830059,0.223278804,0.221597544,0.219641676,0.217017992,0.216051181,0.212269211,0.209449995,0.208088239,0.205568859,0.204049492,,,
Burundi,,0.237644677,0.241837133,0.245348627,0.247015479,0.245531553,0.238753611,0.243576369,0.241158889,0.292371032,0.271903175,0.26485399,0.252583982,0.259562506,0.256632926,0.252924198,0.24968649,0.246243351,0.238650326,0.231405049,0.225370189,0.21935654,0.213345715,0.207283311,0.201097734,0.194794668,0.188395295,0.182046639,0.175997266,0.170502202,0.165682637,0.161474341,0.157757309,0.15448759,0.151612942,0.150664446,0.148419139,0.147965928,0.145886313,0.144933947,0.141863402,0.140354009,0.137711074,0.133761822,0.128563006,0.120490841,0.115598918,0.109224438,0.106554278,0.106152628,0.097240104,0.093971993,0.108646568,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084087306,0.082145944,0.080520402,0.08047314,0.080605408,0.080449548,0.079825877,0.079053615,0.078898425,0.077803042,0.07655487,0.074766396,0.07206886,,,
Benin,,0.373073501,0.375514535,0.377457158,0.378910609,0.379887249,0.384130273,0.391446707,0.394470103,0.414522042,0.412687528,0.420600544,0.421149607,0.417996485,0.417641818,0.419864301,0.41847245,0.416634861,0.411549498,0.406244671,0.403440107,0.400292397,0.394266099,0.385627753,0.377044204,0.368533491,0.36018077,0.351947236,0.343622442,0.334970969,0.322917914,0.312588941,0.303073913,0.295570738,0.293772337,0.299048158,0.315722086,0.33012115,0.343695472,0.341221433,0.342477285,0.34146765,0.343909378,0.345696618,0.347099686,0.329978067,0.296078137,0.287104297,0.289741211,0.265123339,0.26709295,0.263820109,0.268662277,,,
Burkina Faso,,0.433949566,0.430213746,0.426427528,0.421464114,0.417208629,0.41283298,0.408008954,0.403015068,0.398323352,0.393983782,0.384388313,0.391748156,0.396763369,0.402811635,0.407178561,0.406436876,0.406317487,0.405768341,0.404696943,0.402325131,0.39941831,0.396744682,0.393003208,0.389045953,0.385615157,0.381429611,0.377760601,0.41812734,0.411430303,0.397796717,0.384526563,0.371620619,0.359069322,0.342379723,0.334989251,0.335492536,0.354404427,0.355544437,0.345652262,0.31874723,0.376766407,0.382394119,0.403111196,0.353084605,0.365074201,0.339737874,0.343522106,0.414711771,0.375844265,0.383826424,0.353886678,0.36164593,,,
Bangladesh,,0.173510257,0.168467534,0.163803064,0.159617539,0.157195251,0.152543031,0.148309541,0.143361621,0.13890954,0.13585206,0.133052383,0.135146561,0.132991599,0.130745514,0.12834197,0.125297877,0.121993148,0.118585995,0.115210711,0.112100932,0.108959875,0.106022917,0.103071844,0.101424985,0.09839254,0.095875704,0.094091385,0.094632293,0.092388271,0.089221742,0.08648998,0.077567322,0.074980814,0.072536717,0.070963087,0.069073466,0.067894482,0.067005056,0.065524227,0.063604151,0.06206641,0.060582056,0.059365005,0.057815827,0.05534878,0.054405147,0.053317803,0.052633186,0.052005981,0.051056355,0.049724387,0.049434041,,,
Bulgaria,,0.535306161,0.518411081,0.512246314,0.51323987,0.507912563,0.504477022,0.498903399,0.496319837,0.492994452,0.487892561,0.48404508,0.481332058,0.477904625,0.472188087,0.453745794,0.449843634,0.447173804,0.445426111,0.441539371,0.431866488,0.430092192,0.428148967,0.426410707,0.424856197,0.425197256,0.426314702,0.426356809,0.427548081,0.433481146,0.442288619,0.44761767,0.473878488,0.479562075,0.473850522,0.475608867,0.502581304,0.517079504,0.428253802,0.435776867,0.431569862,0.432279065,0.426385416,0.424742863,0.425771938,0.409953617,0.402518762,0.408994269,0.411341329,0.421656798,0.430391102,0.442277481,0.454017362,,,
