Location,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,1970 Flags,1971 Flags,1972 Flags,1973 Flags,1974 Flags,1975 Flags,1976 Flags,1977 Flags,1978 Flags,1979 Flags,1980 Flags,1981 Flags,1982 Flags,1983 Flags,1984 Flags,1985 Flags,1986 Flags,1987 Flags,1988 Flags,1989 Flags,1990 Flags,1991 Flags,1992 Flags,1993 Flags,1994 Flags,1995 Flags,1996 Flags,1997 Flags,1998 Flags,1999 Flags,2000 Flags,2001 Flags,2002 Flags,2003 Flags,2004 Flags,2005 Flags,2006 Flags,2007 Flags,2008 Flags,2009 Flags,2010 Flags,2011 Flags,2012 Flags,2013 Flags,2014 Flags,2015 Flags,2016 Flags,2017 Flags,2018 Flags,2019 Flags,2020 Flags,2021 Flags,2022 Flags,2023 Flags,2024 Flags
Colombia,,,,,,,,,,,,,,0.3975,0.37,0.3681,0.3513,0.3478,0.3595,0.3278,0.3222,0.2989,0.313,0.3276,0.3214,0.3195,0.2848,0.303,0.2762,0.2642,0.2939,0.282,0.2602,0.2921,0.31,0.3386,0.3205,0.3633,0.364,0.268,0.3811,0.481,0.4034,0.3924,0.3877,0.3887,0.3888,0.392,0.3946,0.3979,0.4004,0.4032,0.4065,0.4092,0.4112,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,1.295,1.3484,1.4019,1.4468,1.4576,1.6163,1.3888,1.2829,1.1308,1.1487,1.1963,1.2806,1.307,1.2808,1.3081,1.3172,1.0989,1.0244,1.0441,1.014,0.8979,0.7215,1.0732,1.2739,1.5238,1.7593,1.672,1.4727,1.4179,1.4595,1.442,1.4537,1.4664,1.4742,1.4932,1.5104,1.5251,1.5348,1.5461,1.5571,1.5661,1.5728,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,0.9996,0.9648,0.9284,0.9061,0.8612,0.8705,0.8421,0.805,0.8564,0.9987,1.0423,1.2051,1.2645,1.4411,1.5868,1.4719,1.4965,1.441,1.3614,1.3464,1.3326,1.3565,1.3697,1.3827,1.3897,1.4004,1.4109,1.4183,1.4259,1.4319,1.4384,1.444,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union (28 countries),,,,,,,,,,,,,,,,,,,,,3.0592,2.9164,2.9606,2.9656,2.8309,2.7986,2.8173,2.7853,2.6948,2.7935,2.7752,2.7603,2.4993,2.4897,2.4817,2.4993,2.4654,2.4069,2.2634,2.2218,2.0475,2.0186,1.879,1.8549,1.8616,1.8467,1.8279,1.8057,1.7696,1.7682,1.7786,1.7888,1.8,1.8008,1.8059,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,0.7364,0.6466,0.6474,0.6003,0.6523,0.6581,0.7244,0.6583,0.6548,0.6343,0.615,0.6336,0.6118,0.6194,0.6724,0.6598,0.7063,0.9769,0.9547,0.9794,1.0859,0.9456,0.918,1.0403,1.2155,1.3572,1.5012,1.5126,1.568,1.5509,1.4927,1.627,1.6689,1.7375,1.7806,1.8068,1.8161,1.8476,1.8926,1.9414,1.9924,2.043,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,0.5506,0.5622,0.5509,0.5401,0.5311,0.5212,0.5117,0.5025,0.4931,0.487,0.4788,0,1.153,0.4958,0.5678,0.6395,0.6261,0.7386,0.7317,0.7246,0.7149,0.6542,0.6507,0.6249,0.7025,0.7467,0.6609,0.5682,0.5644,0.562,0.562,0.5687,0.5767,0.5793,0.584,0.5876,0.5951,0.6046,0.6151,0.6258,0.6364,0.6471,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,0.5948,0.5896,0.5869,0.5879,0.628,0.6236,0.6164,0.6106,0.6068,0.6028,0.5963,0.587,0.6027,0.5997,0.5979,0.5929,0.5852,0.5778,0.578,0.5865,0.5521,0.5513,0.5475,0.5902,0.6011,0.604,0.5817,0.6288,0.6337,0.6296,0.6221,0.6238,0.6291,0.6334,0.6391,0.644,0.652,0.6588,0.6652,0.6717,0.6768,0.6807,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,0.5034,0.4268,0.4303,0.497,0.4801,0.4971,0.4777,0.4447,0.4586,0.4744,0.5231,0.4605,0.4308,0.4435,0.4745,0.3556,0.3342,0.3321,0.3906,0.52,0.5848,0.4919,0.4623,0.5445,0.4611,0.4273,0.4777,0.4186,0.4119,0.4145,0.4133,0.4132,0.4191,0.4214,0.4245,0.4262,0.4288,0.431,0.4336,0.4363,0.4384,0.4396,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,7.4469,7.3994,7.3193,6.9514,6.7828,5.7072,5.8583,5.5037,6.2625,6.2002,5.8279,5.6491,5.5739,5.8787,5.8673,6.0633,5.4151,5.8229,5.8429,5.8432,5.3518,5.4221,5.5194,4.8985,4.2422,3.6661,3.0059,2.7997,3.0034,3.2193,3.3441,3.3947,3.4769,3.5012,3.5434,3.5739,3.6145,3.653,3.6964,3.7457,3.7924,3.8366,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,0.9134,0.8984,0.9052,0.9863,1.1219,1.292,1.1946,1.1736,1.1374,1.0984,1.2402,1.2372,1.2716,1.2022,1.0707,1.1603,1.2339,1.2997,1.2921,1.1402,1.1756,1.1112,1.2464,1.3852,1.382,1.4584,1.5244,1.6181,1.8355,1.7928,1.7695,1.8816,1.8916,1.9052,1.9239,1.9257,1.93,1.9352,1.9423,1.9501,1.958,1.9662,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
